datetime,close,high,low,open,volume
2026-05-27 09:15:00+05:30,23926.349609375,23937.400390625,23870.44921875,23880.349609375,0
2026-05-27 09:20:00+05:30,23932.75,23949.69921875,23920.5,23926.0,0
2026-05-27 09:25:00+05:30,23903.25,23934.44921875,23896.44921875,23933.69921875,0
2026-05-27 09:30:00+05:30,23881.19921875,23903.94921875,23869.75,23903.94921875,0
2026-05-27 09:35:00+05:30,23885.400390625,23896.80078125,23874.94921875,23883.099609375,0
2026-05-27 09:40:00+05:30,23908.30078125,23919.05078125,23884.849609375,23885.25,0
2026-05-27 09:45:00+05:30,23890.150390625,23909.650390625,23871.30078125,23909.650390625,0
2026-05-27 09:50:00+05:30,23884.25,23895.650390625,23878.849609375,23890.44921875,0
2026-05-27 09:55:00+05:30,23874.94921875,23894.44921875,23873.900390625,23883.900390625,0
2026-05-27 10:00:00+05:30,23910.0,23910.0,23868.80078125,23874.75,0
2026-05-27 10:05:00+05:30,23933.150390625,23941.05078125,23908.05078125,23912.94921875,0
2026-05-27 10:10:00+05:30,23943.25,23946.400390625,23927.349609375,23933.849609375,0
2026-05-27 10:15:00+05:30,23951.69921875,23955.44921875,23934.69921875,23942.80078125,0
2026-05-27 10:20:00+05:30,23953.0,23958.900390625,23942.44921875,23951.94921875,0
2026-05-27 10:25:00+05:30,23963.19921875,23970.400390625,23952.94921875,23953.650390625,0
2026-05-27 10:30:00+05:30,23957.69921875,23965.05078125,23947.44921875,23963.400390625,0
2026-05-27 10:35:00+05:30,23954.30078125,23970.69921875,23952.150390625,23958.05078125,0
2026-05-27 10:40:00+05:30,23935.94921875,23959.5,23934.44921875,23953.849609375,0
2026-05-27 10:45:00+05:30,23942.0,23942.05078125,23918.900390625,23936.19921875,0
2026-05-27 10:50:00+05:30,23966.69921875,23967.69921875,23937.69921875,23941.75,0
2026-05-27 10:55:00+05:30,23966.900390625,23976.349609375,23958.94921875,23966.94921875,0
2026-05-27 11:00:00+05:30,23954.75,23968.25,23950.69921875,23966.94921875,0
